MD,DEVI,DTCO,DTSM_FAST,DTSM_SLOW,RHOB_model,GR_Normalized
ft , dega, us/ft , us/ft , us/ft , g/cc ,None
Measured Depth ,Borehole Deviation ,Compressional Slowness ,Fast Shear Slowness ,Slow Shear Slowness ,Bulk density - modeled ,Normalized Gamma Ray  
6543.5,64.49451,63.32103,102.9109,122.948,2.4732,0.1931085
6544,64.54771,63.12215,103.1541,122.6725,2.478608,0.19036083
6544.5,64.60092,62.92801,103.4245,122.9122,2.48201,0.19146162
6545,64.65414,62.85358,103.5927,123.5872,2.481436,0.18941793
6545.5,64.70737,62.91558,103.5544,124.3081,2.477534,0.20150553
6546,64.7606,63.04715,103.2413,124.7418,2.47194,0.19404073
6546.5,64.81384,63.19729,102.7566,124.8368,2.466135,0.18983024
6547,64.86709,63.34801,102.3848,124.7589,2.46172,0.16972457
6547.5,64.92034,63.48133,102.3102,124.693,2.459629,0.17216904
6548,64.9736,63.54507,102.5027,124.7319,2.460022,0.16223226
6548.5,65.02688,63.4515,102.8302,124.9118,2.462935,0.16957691
6549,65.08016,63.18254,103.1242,125.2513,2.467301,0.17548114
6549.5,65.13345,62.84292,103.2461,125.6336,2.471251,0.19042465
6550,65.18674,62.48251,103.1314,125.7938,2.47474,0.19654307
6550.5,65.24004,62.0606,102.8059,125.5802,2.479083,0.19322267
6551,65.29336,61.65875,102.4206,125.0343,2.484034,0.19049056
6551.5,65.34668,61.39146,102.135,124.2442,2.48876,0.1916966
6552,65.40001,61.21663,101.9832,123.3859,2.493407,0.19553012
6552.5,65.45334,61.09471,101.8754,122.7468,2.496803,0.19849885
6553,65.50668,61.14703,101.6741,122.4983,2.495686,0.1919563
6553.5,65.56004,61.51031,101.4169,122.6045,2.488512,0.18839274
6554,65.6134,62.08744,101.4225,122.9685,2.479176,0.18749231
6554.5,65.66676,62.55562,101.9291,123.4347,2.47453,0.18334375
6555,65.72013,62.67278,102.7087,123.7141,2.47732,0.18759958
6555.5,65.77351,62.45322,103.3121,123.5621,2.484949,0.18634796
6556,65.8269,62.07827,103.5834,123.0236,2.493771,0.18680906
6556.5,65.8803,61.75638,103.6535,122.4096,2.500811,0.17732339
6557,65.93371,61.61636,103.6256,122.087,2.503708,0.17881958
6557.5,65.98711,61.66034,103.501,122.2561,2.501698,0.17954953
6558,66.04053,61.83627,103.3023,122.7656,2.496146,0.1837942
6558.5,66.09396,62.15329,103.1778,123.1831,2.489514,0.18170176
6559,66.1474,62.65031,103.3558,123.2238,2.48396,0.18457076
6559.5,66.20084,63.26004,103.9083,123.0816,2.480243,0.18023103
6560,66.25429,63.81736,104.5501,123.2224,2.476771,0.18532862
6560.5,66.30775,64.24466,104.887,123.9114,2.470798,0.1907154
6561,66.36121,64.58218,104.9667,124.9624,2.462815,0.1957695
6561.5,66.41468,64.78648,105.2656,125.8101,2.458845,0.19839504
6562,66.46815,64.71675,105.9329,125.8958,2.463848,0.19744667
6562.5,66.52164,64.43009,106.4312,125.2494,2.473171,0.20454545
6563,66.57513,64.34634,106.2234,124.564,2.475571,0.20610344
6563.5,66.62863,64.84982,105.4342,124.4604,2.464582,0.19818996
6564,66.68214,65.71639,104.64,124.9147,2.446289,0.19426428
6564.5,66.73566,66.21486,104.1783,125.5042,2.434021,0.1911136
6565,66.78918,65.8546,103.8641,125.9348,2.434481,0.19629711
6565.5,66.8427,64.92185,103.4672,126.256,2.442453,0.18578394
6566,66.89624,64.11725,103.1523,126.6195,2.449446,0.18083704
6566.5,66.94978,63.80566,103.1491,126.9416,2.45238,0.17953698
6567,67.00333,63.82278,103.3544,126.9687,2.453542,0.19518146
6567.5,67.05689,63.87645,103.4285,126.6843,2.454472,0.2060762
6568,67.11046,63.86959,103.0595,126.4337,2.452864,0.21104398
6568.5,67.16402,63.8441,102.2231,126.5879,2.446308,0.20544595
6569,67.21761,63.83755,101.3572,127.1316,2.437365,0.19952904
6569.5,67.27119,63.85014,101.1043,127.6025,2.433191,0.1997526
