MD,DTCO,DTSM_FAST,DTSM_SLOW,RHOB,GR_Normalized
ft,US/F,US/F,US/F,G/C3,None
   6478.5,50.5571,92.819,92.819,2.6984,0.08349564
   6479.0,50.9205,92.971,92.971,2.6932,0.082516395
   6479.5,51.2682,93.0875,93.0875,2.6697,0.07994163
   6480.0,51.5338,93.225,93.225,2.6678,0.07934864
   6480.5,51.7072,93.4029,93.4029,2.6664,0.08033931
   6481.0,51.8122,93.5828,93.5828,2.6728,0.08093065
   6481.5,51.8601,93.698,93.698,2.6722,0.080699354
   6482.0,52.2438,93.7018,93.7018,2.6712,0.08110245
   6482.5,52.4172,93.5906,93.5906,2.6828,0.083364815
   6483.0,52.5468,93.424,93.424,2.6819,0.08825831
   6483.5,52.6004,93.2542,93.2542,2.6755,0.09512755
   6484.0,52.5238,93.042,93.042,2.6478,0.09851538
   6484.5,52.4809,92.7454,92.7454,2.633,0.09470137
   6485.0,52.4868,92.4074,92.4074,2.6267,0.0870794
   6485.5,52.5936,92.1544,92.1544,2.6431,0.082272835
   6486.0,52.6409,92.0711,92.0711,2.6618,0.08279927
   6486.5,53.0082,92.0683,92.0683,2.6685,0.08641922
   6487.0,53.2759,92.0178,92.0178,2.6525,0.0908129
   6487.5,53.0704,91.8628,91.8628,2.6356,0.09408029
   6488.0,53.019,91.5821,91.5821,2.6427,0.093706734
   6488.5,52.6451,91.2616,91.2616,2.659,0.09001524
   6489.0,51.9446,91.0697,91.0697,2.6792,0.085277535
   6489.5,51.5935,91.0378,91.0378,2.6842,0.08167298
   6490.0,51.5703,91.0577,91.0577,2.6824,0.08064216
   6490.5,51.6508,91.1073,91.1073,2.6747,0.081498265
   6491.0,51.8952,91.2048,91.2048,2.6723,0.08272024
   6491.5,52.1969,91.3037,91.3037,2.6697,0.08394491
   6492.0,52.7416,91.3997,91.3997,2.6682,0.086838536
   6492.5,53.2063,91.4766,91.4766,2.655,0.09017561
   6493.0,53.6224,91.4524,91.4524,2.6404,0.09105855
   6493.5,53.88,91.2804,91.2804,2.6266,0.089962
   6494.0,53.8104,90.9813,90.9813,2.6222,0.08950628
   6494.5,53.5346,90.6168,90.6168,2.6252,0.090257145
   6495.0,53.2091,90.2559,90.2559,2.6291,0.08995701
   6495.5,53.1311,89.9969,89.9969,2.6326,0.087684035
   6496.0,53.3593,89.9192,89.9192,2.6417,0.08699224
   6496.5,53.1311,89.9962,89.9962,2.6508,0.09173203
   6497.0,52.8295,90.1475,90.1475,2.6532,0.09991851
   6497.5,52.8295,90.2655,90.2655,2.6454,0.103310905
   6498.0,52.2837,90.2418,90.2418,2.6405,0.09844986
   6498.5,51.9841,90.0736,90.0736,2.6456,0.09363186
   6499.0,51.9532,89.8799,89.8799,2.661,0.09663947
   6499.5,52.4137,89.7861,89.7861,2.6681,0.10413082
   6500.0,52.7364,89.805,89.805,2.6733,0.10693792
   6500.5,53.1873,89.856,89.856,2.6707,0.10291883
   6501.0,53.1283,89.8857,89.8857,2.6679,0.09738763
   6501.5,53.1283,89.9407,89.9407,2.6674,0.09408259
   6502.0,52.9972,90.0885,90.0885,2.6636,0.09309503
   6502.5,52.627,90.3017,90.3017,2.6718,0.09350269
   6503.0,52.6258,90.5146,90.5146,2.6714,0.094248146
   6503.5,52.6258,90.6831,90.6831,2.6733,0.094239205
   6504.0,53.0348,90.7777,90.7777,2.6669,0.09319965
   6504.5,53.3381,90.8094,90.8094,2.6661,0.093823425
   6505.0,53.7031,90.8224,90.8224,2.6598,0.097315244
   6505.5,54.1044,90.8371,90.8371,2.6542,0.100183286
   6506.0,54.1044,90.8235,90.8235,2.6506,0.09904742
   6506.5,54.14,90.7697,90.7697,2.6474,0.09624907
   6507.0,53.7951,90.6801,90.6801,2.6442,0.096714765
   6507.5,53.4502,90.5152,90.5152,2.64,0.09977936
   6508.0,52.9837,90.26,90.26,2.6395,0.10187699
   6508.5,52.5905,89.9594,89.9594,2.6432,0.10132269
   6509.0,52.405,89.682,89.682,2.65,0.09859774
   6509.5,52.1433,89.4718,89.4718,2.6609,0.093725875
   6510.0,51.7856,89.2868,89.2868,2.6666,0.08751099
   6510.5,51.2784,89.0609,89.0609,2.6689,0.08359111
   6511.0,50.8915,88.832,88.832,2.6732,0.08352414
   6511.5,50.8915,88.7176,88.7176,2.6791,0.08408905
   6512.0,51.1636,88.7475,88.7475,2.682,0.08204945
   6512.5,51.583,89.0116,89.0116,2.6811,0.07824938
   6513.0,52.3344,89.8681,89.8681,2.6751,0.07703573
   6513.5,53.0402,91.3503,91.3503,2.6613,0.0820066
   6514.0,53.3043,92.7208,92.7208,2.6466,0.09095102
   6514.5,54.0317,93.359,93.359,2.6267,0.09698911
   6515.0,54.1815,93.2098,93.2098,2.6323,0.095349275
   6515.5,54.0735,92.5282,92.5282,2.635,0.08940957
   6516.0,53.8271,91.856,91.856,2.648,0.085608244
   6516.5,53.4082,91.4856,91.4856,2.6467,0.08466353
   6517.0,52.9636,91.3795,91.3795,2.6544,0.08313435
   6517.5,52.7775,91.4795,91.4795,2.6596,0.08006788
   6518.0,52.7782,91.637,91.637,2.6629,0.07852456
   6518.5,52.9431,91.6642,91.6642,2.6608,0.08014838
   6519.0,53.2732,91.5089,91.5089,2.6593,0.08312812
   6519.5,53.4493,91.2595,91.2595,2.6581,0.085117586
   6520.0,53.727,91.0106,91.0106,2.6555,0.08704612
